xmin,ymin,xmax,ymax,label,file,width,height,annotation_file,image_file,cropped_image_file
121,192,212,312,with_mask,maksssksksss107,301,400,maksssksksss107.xml,maksssksksss107.png,maksssksksss107-0.png
48,294,164,400,with_mask,maksssksksss101,301,400,maksssksksss101.xml,maksssksksss101.png,maksssksksss101-1.png
6,111,43,148,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-2.png
22,20,49,46,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-3.png
48,12,70,37,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-4.png
113,1,136,24,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-5.png
78,17,106,46,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-6.png
97,66,115,86,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-7.png
70,111,104,145,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-8.png
42,157,85,186,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-9.png
59,205,111,264,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-10.png
116,155,172,198,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-11.png
112,85,149,118,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-12.png
124,27,153,47,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-13.png
163,29,189,53,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-14.png
186,18,215,44,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-15.png
178,77,214,111,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-16.png
216,57,241,84,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-17.png
237,15,268,46,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-18.png
281,19,308,40,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-19.png
286,60,311,84,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-20.png
253,94,293,135,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-21.png
236,161,273,195,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-22.png
282,194,322,232,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-23.png
314,115,350,152,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-24.png
335,27,359,52,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-25.png
381,14,401,34,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-26.png
356,72,385,98,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-27.png
155,29,180,51,with_mask,maksssksksss108,400,225,maksssksksss108.xml,maksssksksss108.png,maksssksksss108-28.png
206,35,228,58,with_mask,maksssksksss108,400,225,maksssksksss108.xml,maksssksksss108.png,maksssksksss108-29.png
332,67,346,81,with_mask,maksssksksss108,400,225,maksssksksss108.xml,maksssksksss108.png,maksssksksss108-30.png
362,68,376,82,with_mask,maksssksksss108,400,225,maksssksksss108.xml,maksssksksss108.png,maksssksksss108-31.png
267,72,278,83,without_mask,maksssksksss108,400,225,maksssksksss108.xml,maksssksksss108.png,maksssksksss108-32.png
42,54,94,110,with_mask,maksssksksss103,400,300,maksssksksss103.xml,maksssksksss103.png,maksssksksss103-33.png
188,46,236,106,with_mask,maksssksksss103,400,300,maksssksksss103.xml,maksssksksss103.png,maksssksksss103-34.png
261,88,303,130,with_mask,maksssksksss103,400,300,maksssksksss103.xml,maksssksksss103.png,maksssksksss103-35.png
